Timestamp,1. What is your age?,2. What is your gender?,3. What is your occupation?,4. What is your highest level of education?,5. Have you ever used an AI tool?,6. Which AI tools have you used?,7. How often do you use AI?,8. How much time do you spend using AI each day?,9. Why do you use AI?,10. AI helps me learn faster.,11. AI improves my productivity.,12. I try to solve problems on my own before asking AI.,13. AI has made me more dependent on technology.,14. AI has improved my creativity.,15. AI has reduced my independent thinking.,16. Do you verify AI-generated information before using it?,17. How much do you trust AI-generated information?,18. Should students use AI for assignments?,19. Should AI be taught in schools and colleges?,20. AI helps me complete tasks more quickly.,21. Have you ever used AI for assignments or work?,22. Do you think AI will create more jobs than it replaces?,23. Can AI replace teachers?,24. Can AI replace doctors?,25. Can AI replace software engineers?,26. Should governments regulate AI?,27. What is the biggest benefit of AI?,28. What is your biggest concern about AI?,29. In which areas do you think AI will have the greatest impact in the future?,30. Which concerns do you have about AI?,31. Share your thoughts about AI in one or two sentences.
7/11/2026 18:03:18,18–22,Male,Student,Undergraduate,Yes,ChatGPT,Daily,Less than 30 minutes,"Studying, Coding",3,3,Sometimes,4,2,4,Sometimes,Sometimes,Only for guidance,Not Sure,4,Yes,Maybe,No,No,No,4,Makes Work Easier,Overdependence,Software Development,Job Loss,
7/11/2026 18:04:54,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Meta AI",A few times a week,Less than 30 minutes,"Studying, Coding, Research, Entertainment",4,4,Sometimes,4,2,4,Often,Sometimes,Yes,Yes,4,Yes,Yes,Partially,No,Yes,3,Saves Time,Job Loss,"Software Development, Business and Finance",Privacy Issues,
7/11/2026 18:10:03,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding, Research",5,5,Sometimes,5,5,5,Sometimes,Sometimes,Only for guidance,Yes,5,Yes,Not Sure,No,No,Partially,5,Makes Work Easier,Job Loss,"Education, Software Development, Transportation",Job Loss,
7/11/2026 18:10:30,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding, Research, Brainstorming",4,5,Sometimes,4,5,3,Sometimes,Mostly,Only for guidance,Yes,5,Yes,Yes,Yes,No,Partially,5,Increases Productivity,Privacy,"Education, Software Development, Business and Finance","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Misuse of AI",
7/11/2026 18:18:01,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, Meta AI",Multiple times a day,30–60 minutes,"Studying, Office Work, Research, Entertainment",5,5,Sometimes,3,5,3,Always,Mostly,Yes,Yes,5,Yes,Yes,Partially,No,Partially,5,Improves Learning,Bias in AI,"Education, Healthcare, Software Development, Business and Finance, Manufacturing",Overdependence on Technology,Best for study 
7/11/2026 18:20:31,18–22,Male,Student,High School,Yes,"ChatGPT, Microsoft Copilot, Gemini ",A few times a week,Less than 30 minutes,"Studying, Coding",3,5,Sometimes,4,2,4,Often,Mostly,Yes,Yes,5,Yes,No,No,No,No,3,Saves Time,Job Loss,"Software Development, Business and Finance","Job Loss, Privacy Issues, Incorrect Information, Overdependence on Technology, Bias and Unfair Decisions, Misuse of AI","Depends highly on user's intention. Useful tool in some hands, dangerous uncontrollable weapons in others"
7/11/2026 18:26:42,23–30,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek",Daily,30–60 minutes,"Studying, Office Work, Research, Brainstorming",4,4,Sometimes,3,3,3,Sometimes,Sometimes,Only for guidance,Yes,4,Yes,Maybe,No,No,Partially,3,Increases Productivity,Security Risks,"Education, Software Development, Business and Finance, Entertainment","Privacy Issues, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity",Can be used regularly but have to be careful while sharing the data 
7/11/2026 18:42:30,18–22,Prefer not to say,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity, Meta AI",A few times a week,Less than 30 minutes,"Studying, Coding, Writing",3,3,Rarely,4,3,3,Sometimes,Mostly,Only for guidance,Yes,5,Yes,Not Sure,Partially,No,Partially,3,Makes Work Easier,Job Loss,"Education, Software Development",Job Loss,
7/11/2026 18:44:28,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity",Multiple times a day,1–2 hours,"Studying, Coding, Content Creation, Entertainment",4,5,Sometimes,4,5,4,Always,Mostly,Yes,Yes,5,Yes,Maybe,Yes,Yes,Yes,3,Makes Work Easier,Job Loss,"Education, Healthcare, Software Development","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Bias and Unfair Decisions",
7/11/2026 18:50:12,18–22,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI, Gemini",Daily,30–60 minutes,"Studying, Coding, Office Work, Research",5,5,Sometimes,5,5,4,Sometimes,Mostly,Only for guidance,Yes,5,Yes,Maybe,Partially,No,Partially,3,Saves Time,Overdependence,"Education, Software Development, Entertainment, Manufacturing","Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Misuse of AI",
7/11/2026 18:57:59,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, Meta AI",A few times a week,Less than 30 minutes,"Studying, Coding",3,3,Rarely,3,3,3,Rarely,Rarely,Only for guidance,Not Sure,3,Prefer not to say,Not Sure,No,No,No,3,Encourages Creativity,Overdependence,"Education, Healthcare, Software Development","Job Loss, Incorrect Information, Overdependence on Technology, Lack of Human Creativity, Misuse of AI",
7/11/2026 18:58:14,18–22,Male,Student,Undergraduate,Yes,ChatGPT,Daily,30–60 minutes,Research,3,3,Sometimes,2,4,1,Sometimes,Sometimes,Yes,Not Sure,3,Yes,No,Yes,Yes,Yes,4,Encourages Creativity,Overdependence,"Education, Transportation","Job Loss, Overdependence on Technology",Easy to improve skills and creativity 
7/11/2026 19:11:05,18–22,Male,Student,Inter,Yes,"ChatGPT, Meta AI",Rarely,Less than 30 minutes,"Studying, Coding",4,4,Sometimes,3,3,3,Sometimes,Sometimes,Yes,No,4,No,Maybe,No,No,Partially,3,Saves Time,Job Loss,"Education, Software Development, Manufacturing","Job Loss, Incorrect Information, Bias and Unfair Decisions, Misuse of AI",
7/11/2026 19:12:34,23–30,Female,Employee,Postgraduate,Yes,"ChatGPT, Perplexity, DeepSeek, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding, Office Work, Writing",5,5,Often,3,5,3,Often,Completely,Yes,Yes,5,Yes,No,Yes,No,No,5,Saves Time,Security Risks,"Education, Healthcare, Software Development, Business and Finance, Transportation, Entertainment, Agriculture, Manufacturing","Security Risks, Overdependence on Technology, Lack of Human Creativity",I will help us in many ways
7/11/2026 19:13:26,18–22,Male,Student,High School,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Multiple times a day,More than 2 hours,"Studying, Coding, Office Work, Research",5,5,Always,5,5,5,Always,Sometimes,Yes,Yes,5,Yes,Yes,Partially,Partially,Partially,5,Makes Work Easier,Privacy,"Education, Healthcare, Software Development, Business and Finance, Transportation, Entertainment, Manufacturing",Security Risks,
7/11/2026 19:20:44,18–22,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Daily,30–60 minutes,"Studying, Coding, Office Work, Entertainment, Brainstorming",1,2,Sometimes,2,2,2,Sometimes,Mostly,Yes,Yes,2,Yes,Yes,Partially,Partially,Partially,1,Encourages Creativity,Bias in AI,"Education, Healthcare, Software Development, Business and Finance, Entertainment","Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",
7/11/2026 19:33:22,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Perplexity, Meta AI",Daily,30–60 minutes,"Studying, Writing",5,5,Sometimes,2,3,1,Sometimes,Sometimes,Only for guidance,No,3,Yes,Not Sure,No,No,No,3,Improves Learning,Overdependence,"Education, Healthcare, Software Development","Privacy Issues, Overdependence on Technology, Lack of Human Creativity",Good for students 
7/11/2026 19:45:46,23–30,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Meta AI",Multiple times a day,More than 2 hours,"Studying, Coding, Office Work, Research, Writing, Brainstorming",5,5,Sometimes,4,2,4,Sometimes,Rarely,Only for guidance,Yes,4,Yes,Maybe,Yes,No,Yes,3,Saves Time,Privacy,"Education, Software Development, Manufacturing","Incorrect Information, Security Risks, Misuse of AI",
7/11/2026 19:47:24,Under 18,Female,Student,High School,Yes,ChatGPT,Multiple times a day,Less than 30 minutes,Studying,4,4,Sometimes,5,5,1,Never,Sometimes,Yes,Yes,5,Yes,Not Sure,Partially,Partially,Partially,3,Makes Work Easier,Job Loss,Education,Job Loss,Now a days AI helps use more then human beings
7/11/2026 19:51:37,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",A few times a week,Less than 30 minutes,"Studying, Coding, Research, Entertainment",5,5,Often,4,4,2,Often,Mostly,Only for guidance,Yes,5,Yes,Maybe,No,No,No,3,Encourages Creativity,Job Loss,Software Development,"Job Loss, Privacy Issues, Bias and Unfair Decisions, Misuse of AI",
7/11/2026 20:05:39,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity, Meta AI",Daily,Less than 30 minutes,"Studying, Research, Brainstorming",3,4,Often,3,3,2,Often,Sometimes,Only for guidance,Yes,3,Yes,Yes,No,No,No,4,Increases Productivity,Security Risks,Software Development,Security Risks,
7/11/2026 20:29:30,18–22,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Daily,30–60 minutes,"Studying, Coding, Office Work",5,5,Often,3,4,3,Always,Sometimes,Only for guidance,Yes,5,Yes,Not Sure,Partially,No,Partially,4,Improves Learning,Job Loss,"Education, Healthcare, Software Development, Business and Finance, Transportation","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",
7/11/2026 21:01:25,23–30,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, DeepSeek, Meta AI, Groq, mistral",Daily,More than 2 hours,"Studying, Coding, Research, Writing",5,4,Often,4,4,3,Often,Sometimes,Yes,Yes,4,Yes,Yes,Yes,Partially,Partially,5,Encourages Creativity,Bias in AI,"Education, Healthcare, Software Development, Business and Finance, Entertainment, Manufacturing","Overdependence on Technology, Bias and Unfair Decisions, Misuse of AI","Ai should be treated like a tool , use less dont take advantage of it and suffer in future."
7/11/2026 21:05:35,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Daily,30–60 minutes,"Studying, Coding, Research, Entertainment",4,3,Often,3,1,5,Often,Sometimes,Only for guidance,No,3,No,Not Sure,No,No,Yes,1,Increases Productivity,Security Risks,"Transportation, Entertainment, Agriculture, Manufacturing","Privacy Issues, Security Risks, Overdependence on Technology, Lack of Human Creativity","Good but bad
Very bad to good things "
7/11/2026 21:11:47,23–30,Male,Business Owner,Postgraduate,Yes,ChatGPT,A few times a week,Less than 30 minutes,Research,3,3,Sometimes,2,3,5,Rarely,Sometimes,Yes,Not Sure,3,No,No,Yes,Yes,Yes,3,Saves Time,Job Loss,Software Development,Job Loss,
7/11/2026 21:26:00,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity",Multiple times a day,1–2 hours,"Studying, Research, Writing",3,3,Sometimes,4,2,2,Rarely,Mostly,Only for guidance,Yes,4,Yes,Maybe,Yes,Partially,Partially,3,Makes Work Easier,Security Risks,"Education, Software Development","Job Loss, Privacy Issues, Security Risks",
7/11/2026 21:27:34,23–30,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, Meta AI, ",Multiple times a day,Less than 30 minutes,"Studying, Coding, Office Work, Research",5,5,Sometimes,5,1,5,Sometimes,Mostly,Yes,Yes,5,Yes,Maybe,No,No,No,3,Makes Work Easier,Overdependence,"Education, Software Development","Job Loss, Overdependence on Technology, Lack of Human Creativity, Misuse of AI",
7/11/2026 21:29:38,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, Meta AI",Multiple times a day,Less than 30 minutes,"Studying, Coding, Writing, Entertainment",4,3,Sometimes,4,3,4,Sometimes,Mostly,Only for guidance,Yes,5,Yes,No,No,No,No,3,Makes Work Easier,Overdependence,Software Development,"Lack of Human Creativity, Misuse of AI",It's good if used for good purposes 
7/11/2026 21:37:38,Above 40,Female,Homemaker,High School,Yes,"ChatGPT, Perplexity",Rarely,Less than 30 minutes,"Office Work, Entertainment",3,4,Sometimes,4,4,3,Never,Sometimes,Only for guidance,Not Sure,4,Prefer not to say,Maybe,Partially,No,Partially,3,Makes Work Easier,Job Loss,"Education, Healthcare, Software Development, Business and Finance, Transportation, Agriculture","Job Loss, Privacy Issues, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity",
7/11/2026 22:03:14,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Meta AI",Daily,30–60 minutes,"Studying, Coding, Writing",5,5,Sometimes,5,1,5,Rarely,Mostly,Only for guidance,Not Sure,5,Prefer not to say,Not Sure,Partially,No,Yes,3,Saves Time,Privacy,Software Development,"Privacy Issues, Incorrect Information, Overdependence on Technology, Lack of Human Creativity",
7/11/2026 22:09:37,23–30,Female,Employee,Undergraduate,Yes,"ChatGPT, Claude",Multiple times a day,1–2 hours,"Coding, Office Work, Research, Entertainment",4,4,Sometimes,5,4,4,Never,Mostly,Only for guidance,No,4,Yes,Not Sure,Yes,No,No,1,Saves Time,Overdependence,Education,"Job Loss, Overdependence on Technology",
7/11/2026 22:34:12,18–22,Female,Student,Undergraduate,Yes,ChatGPT,A few times a week,Less than 30 minutes,Studying,4,3,Sometimes,3,3,5,Never,Mostly,Only for guidance,Not Sure,4,Prefer not to say,No,No,No,No,2,Saves Time,Overdependence,"Transportation, ",Overdependence on Technology,"Ai is good but not always because it effect people Job less, over dependence "
7/11/2026 22:44:17,18–22,Male,Student,Undergraduate,Yes,"ChatGPT, Claude, Perplexity, DeepSeek",Multiple times a day,30–60 minutes,"Studying, Coding, Research, Writing, Brainstorming",4,4,Sometimes,3,3,3,Sometimes,Mostly,Only for guidance,Yes,5,Yes,Maybe,Partially,Partially,Partially,3,All of the above ,Security Risks,"Education, Healthcare, Software Development, Business and Finance, Transportation, Entertainment, Agriculture, Manufacturing","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",AI is something that will grow continuously so we have update ourselves to it and learn how to use and live with and minimize the disadvantages due to AI as much as possible 
7/11/2026 22:53:52,18–22,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Multiple times a day,30–60 minutes,"Studying, Coding",5,5,Always,5,4,5,Sometimes,Mostly,Only for guidance,Yes,5,Yes,Not Sure,Yes,No,Yes,3,Improves Learning,Job Loss,"Education, Healthcare, Software Development","Job Loss, Incorrect Information, Lack of Human Creativity",It helps in understanding concepts quickly 
7/12/2026 5:53:53,18–22,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Perplexity, DeepSeek, Meta AI",A few times a week,Less than 30 minutes,"Studying, Coding, Office Work, Research, Writing, Entertainment",4,3,Often,4,3,3,Often,Rarely,Only for guidance,Not Sure,4,Yes,Not Sure,No,No,No,3,Improves Learning,Job Loss,"Education, Healthcare, Software Development, Transportation, Entertainment","Job Loss, Privacy Issues, Security Risks, Overdependence on Technology, Misuse of AI",
7/12/2026 11:13:54,18–22,Female,Student,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, Meta AI, Google ai studio ",Daily,30–60 minutes,"Studying, Research",5,4,Sometimes,2,3,2,Sometimes,Sometimes,Only for guidance,Not Sure,4,Yes,Maybe,No,Partially,No,3,Saves Time,Overdependence,"Education, Healthcare, Software Development, Business and Finance, Transportation, Agriculture","Privacy Issues, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",
7/13/2026 11:23:09,18–22,Male,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, DeepSeek, Meta AI",A few times a week,30–60 minutes,"Studying, Coding",4,4,Always,1,4,1,Always,Sometimes,No,Yes,4,No,Yes,No,No,No,3,Increases Productivity,Privacy,"Education, Software Development","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Misuse of AI",Ai is good but it's access should be restricted to a certain limit.
7/13/2026 21:50:34,18–22,Female,Employee,Undergraduate,Yes,"ChatGPT, Microsoft Copilot, Claude, Perplexity, DeepSeek, Meta AI",Daily,Less than 30 minutes,"Studying, Coding, Office Work, Research, Writing, Entertainment, Brainstorming",4,3,Often,5,2,3,Often,Sometimes,Only for guidance,Yes,5,Yes,Maybe,Partially,No,Partially,5,Saves Time,Bias in AI,"Education, Software Development, Business and Finance","Job Loss, Privacy Issues, Incorrect Information, Security Risks, Overdependence on Technology, Bias and Unfair Decisions, Lack of Human Creativity, Misuse of AI",Limited usage of ai can enhance the way of learning  but too much dependency is harmful for our creativity 
